Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HomeGoals,AwayGoals,result,winner
15:00,Aston Villa,Brentford,3,3,D,1,0,H,M Salisbury,4,3,1,Aston Villa
15:00,Everton,Burnley,1,0,H,1,0,H,M Oliver,2,0,2,Everton
15:00,Fulham,Newcastle,0,1,A,0,0,D,S Allison,0,1,-1,Newcastle
15:00,Luton,Bournemouth,2,1,H,0,0,D,A Madley,2,1,1,Luton
15:00,Wolves,West Ham,1,2,A,1,0,H,T Harrington,2,2,0,draw
17:30,Brighton,Arsenal,0,3,A,0,1,A,J Brooks,0,4,-4,Arsenal
15:30,Man United,Liverpool,2,2,D,0,1,A,A Taylor,2,3,-1,Liverpool
17:30,Sheffield United,Chelsea,2,2,D,1,1,D,R Jones,3,3,0,draw
18:00,Tottenham,Nott'm Forest,3,1,H,1,1,D,S Hooper,4,2,2,Tottenham
12:30,Newcastle,Tottenham,4,0,H,2,0,H,T Robinson,6,0,6,Newcastle
15:00,Brentford,Sheffield United,2,0,H,0,0,D,S Barrott,2,0,2,Brentford
15:00,Burnley,Brighton,1,1,D,0,0,D,S Hooper,1,1,0,draw
15:00,Man City,Luton,5,1,H,1,0,H,J Brooks,6,1,5,Man City
15:00,Nott'm Forest,Wolves,2,2,D,1,1,D,C Pawson,3,3,0,draw
17:30,Bournemouth,Man United,2,2,D,2,1,H,T Harrington,4,3,1,Bournemouth
14:00,Liverpool,Crystal Palace,0,1,A,0,1,A,C Kavanagh,0,2,-2,Crystal Palace
14:00,West Ham,Fulham,0,2,A,0,1,A,S Attwell,0,3,-3,Fulham
16:30,Arsenal,Aston Villa,0,2,A,0,0,D,D Coote,0,2,-2,Aston Villa
20:00,Chelsea,Everton,6,0,H,4,0,H,P Tierney,10,0,10,Chelsea
